date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2015-05-18,Q,2,0.00018700327255726976,0.10526315789473684,10695,19
2014-01-21,Q,2,0.00018700327255726976,0.2857142857142857,10695,7
2017-05-18,Q,2,0.00018700327255726976,0.07407407407407407,10695,27
2018-05-18,Q,2,0.00018700327255726976,0.06896551724137931,10695,29
2018-05-18,R,2,0.00022696323195642307,0.06896551724137931,8812,29
2013-01-21,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2017-01-20,R,2,0.00022696323195642307,0.15384615384615385,8812,13
2013-01-21,Q,2,0.00018700327255726976,0.18181818181818182,10695,11
2019-05-19,B,2,0.00017362618282837052,0.4,11519,5
2013-05-20,Q,2,0.00018700327255726976,0.11764705882352941,10695,17
2013-05-20,R,2,0.00022696323195642307,0.11764705882352941,8812,17
2014-05-20,B,2,0.00017362618282837052,0.046511627906976744,11519,43
2019-01-20,B,2,0.00017362618282837052,0.3333333333333333,11519,6
2015-01-21,Q,2,0.00018700327255726976,0.16666666666666666,10695,12
2017-05-17,Q,2,0.00018700327255726976,0.06451612903225806,10695,31
2016-05-17,B,2,0.00017362618282837052,0.043478260869565216,11519,46
2018-01-21,B,2,0.00017362618282837052,0.1,11519,20
2018-05-16,Q,2,0.00018700327255726976,0.09090909090909091,10695,22
2017-05-16,Q,2,0.00018700327255726976,0.06896551724137931,10695,29
2017-05-16,B,2,0.00017362618282837052,0.06896551724137931,11519,29
2013-05-16,X,2,0.0001303780964797914,0.0625,15340,32
2017-05-15,R,2,0.00022696323195642307,0.2857142857142857,8812,7
2015-05-15,B,2,0.00017362618282837052,0.046511627906976744,11519,43
2013-05-15,Q,2,0.00018700327255726976,0.06896551724137931,10695,29
2015-01-22,Q,2,0.00018700327255726976,0.2,10695,10
2017-05-14,B,2,0.00017362618282837052,0.05555555555555555,11519,36
2018-05-13,B,2,0.00017362618282837052,0.0625,11519,32
2013-05-13,R,2,0.00022696323195642307,0.1111111111111111,8812,18
2019-05-12,B,2,0.00017362618282837052,0.4,11519,5
2016-01-22,B,2,0.00017362618282837052,0.2,11519,10
2014-05-21,B,2,0.00017362618282837052,0.05405405405405406,11519,37
2016-01-20,R,2,0.00022696323195642307,0.25,8812,8
2016-01-22,X,2,0.0001303780964797914,0.2,15340,10
2014-01-19,R,2,0.00022696323195642307,0.14285714285714285,8812,14
